0:00 Intro
0:23 April 1 — Judges 20–21
16:10 April 2 — Ruth 1–4
34:41 April 3 — 1 Samuel 1–2
48:15 April 4 — 1 Samuel 3–7
1:09:41 April 5 — 1 Samuel 8–10
1:26:48 April 6 — 1 Samuel 11–12
1:36:20 April 7 — 1 Samuel 13–14
1:53:14 April 8 — 1 Samuel 15
2:00:45 April 9 — 1 Samuel 16–17
2:17:47 April 10 — 1 Samuel 18–20
2:38:07 April 11 — 1 Samuel 21–23
2:53:29 April 12 — 1 Samuel 24–26
3:14:27 April 13 — 1 Samuel 27–31
3:36:09 April 14 — 2 Samuel 1–4
3:59:09 April 15 — 2 Samuel 5–7
4:15:15 April 16 — 2 Samuel 8–10
4:26:27 April 17 — 2 Samuel 11–12
4:39:38 April 18 — 2 Samuel 13–14
4:56:15 April 19 — 2 Samuel 15–16
5:09:56 April 20 — 2 Samuel 17–18
5:24:41 April 21 — 2 Samuel 19–20
5:40:54 April 22 — 2 Samuel 21–22
5:53:19 April 23 — 2 Samuel 23–24
6:06:22 April 24 — 1 Kings 1–2
6:28:17 April 25 — 1 Kings 3–4
6:40:05 April 26 — 1 Kings 5–7
7:01:40 April 27 — 1 Kings 8
7:16:44 April 28 — 1 Kings 9–10
7:28:44 April 29 — 1 Kings 11–12
7:45:22 April 30 — 1 Kings 13–14
8:00:05 Credits
